Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
packwisely_setting_enable_ammo_tt,ui,UI,,x,Enables dedicated ammo pouch storage and ammo integration.,,Aktiviert eigenen Munitionsspeicher und Munitionsintegration.,Activa el almacenamiento dedicado de munición y su integración.,Active le stockage dédié aux munitions et son intégration.,Abilita deposito munizioni dedicato e integrazione munizioni.,専用弾薬ストレージと弾薬連携を有効にする。,전용 탄약 보관함과 탄약 연동을 켭니다.,Włącza osobne miejsce na amunicję i integrację amunicji.,Ativa armazenamento dedicado de munição e integração de munição.,Включает отдельное хранилище боеприпасов и интеграцию с патронами.,Özel cephane deposunu ve cephane entegrasyonunu açar.,启用专用弹药存储和弹药联动。,啟用專用彈藥儲存和彈藥整合。
packwisely_setting_enable_medical,ui,UI,,x,Enable Medical Pouch,,Sanitätstasche aktivieren,Activar bolsa médica,Activer la trousse médicale,Abilita borsa medica,医療ポーチを有効化,의료 파우치 사용,Włącz torbę medyczną,Ativar bolsa médica,Включить медицинскую сумку,Sıhhiye Çantasını Aç,启用医疗包,啟用醫療包
packwisely_setting_enable_medical_tt,ui,UI,,x,Enables dedicated medical pouch storage and quick-use systems.,,Aktiviert eigenen Sanitätsspeicher und Schnellnutzungssysteme.,Activa el almacenamiento médico dedicado y los sistemas de uso rápido.,Active le stockage médical dédié et les systèmes d’usage rapide.,Abilita deposito medico dedicato e sistemi di uso rapido.,専用医療ストレージとクイック使用システムを有効にする。,전용 의료 보관함과 빠른 사용 시스템을 켭니다.,Włącza osobne miejsce medyczne i systemy szybkiego użycia.,Ativa armazenamento médico dedicado e sistemas de uso rápido.,Включает отдельное медицинское хранилище и быстрые системы применения.,Özel tıbbi depoyu ve hızlı kullanım sistemlerini açar.,启用专用医疗存储和快捷使用系统。,啟用專用醫療儲存和快速使用系統。
packwisely_setting_enable_explosives,ui,UI,,x,Enable Demolitions Pouch,,Sprengmeistertasche aktivieren,Activar bolsa de demolición,Activer la poche de démolition,Abilita tasca demolizioni,解体用ポーチを有効化,철거용 파우치 활성화,Włącz torbę saperską,Ativar bolsa de demolição,Включить подсумок подрывника,Yıkım Cebini Aç,启用爆破包,啟用爆破包
packwisely_setting_enable_explosives_tt,ui,UI,,x,Enables dedicated explosives pouch storage and toolbelt refill support.,,Aktiviert eigene Sprengstoff-Taschenlagerung und Unterstützung zum Nachfüllen des Werkzeuggürtels.,Activa el almacenamiento dedicado de explosivos y el apoyo de recarga del cinturón de herramientas.,Active le stockage dédié aux explosifs et le réapprovisionnement de la ceinture d’outils.,Abilita lo stoccaggio dedicato per esplosivi e il supporto di rifornimento della cintura attrezzi.,専用の爆発物ポーチ収納とツールベルト補充サポートを有効にします。,전용 폭발물 파우치 보관함과 툴벨트 보충 지원을 활성화합니다.,Włącza osobne przechowywanie w torbie na materiały wybuchowe oraz uzupełnianie paska narzędzi.,Ativa armazenamento dedicado para explosivos e suporte de reabastecimento da barra de ferramentas.,Включает отдельное хранилище для взрывчатки и поддержку пополнения панели быстрого доступа.,Özel yıkım cebi deposunu ve alet kemeri yenileme desteğini açar.,启用专用爆炸物包存储和工具栏补充支持。,啟用專用爆炸物包儲存和工具列補充支援。
packwisely_setting_enable_junk,ui,UI,,x,Enable Junk Marking,,Gegenstandsmarkierung aktivieren,Activar marcado de objetos,Activer le marquage d’objets,Abilita marcatura oggetti,アイテムマークを有効化,아이템 표식 사용,Włącz oznaczanie przedmiotów,Ativar marcação de itens,Включить метки предметов,Eşya İşaretlemeyi Aç,启用物品标记,啟用物品標記
packwisely_setting_enable_junk_tt,ui,UI,,x,Enables Sale and Scrap item marks.,,Aktiviert Verkaufs- und Verschrottungsmarken.,Activa las marcas de venta y desguace.,Active les marques de vente et de recyclage.,Abilita le marcature vendita e rottamazione.,売却マークと解体マークを有効にする。,판매 및 분해 표식을 켭니다.,Włącza oznaczenia sprzedaży i złomowania.,Ativa marcas de venda e sucata.,Включает метки продажи и разбора.,Satış ve hurda eşya işaretlerini açar.,启用出售和拆解物品标记。,啟用出售和拆解物品標記。
packwisely_setting_show_capacity,ui,UI,,x,Show pouch capacity on buttons,,Kapazität auf Tasten anzeigen,Mostrar capacidad en botones,Afficher la capacité sur les boutons,Mostra capacità sui pulsanti,ボタンに容量を表示,버튼에 용량 표시,Pokaż pojemność na przyciskach,Mostrar capacidade nos botões,Показывать вместимость на кнопках,Düğmelerde kapasiteyi göster,在按钮上显示容量,在按鈕上顯示容量
packwisely_setting_show_capacity_tt,ui,UI,,x,Show current slot capacity in pouch button tooltips.,,Zeigt die aktuelle Platzkapazität in den Tooltips der Taschentasten.,Muestra la capacidad actual de ranuras en las descripciones de los botones.,Affiche la capacité actuelle dans les infobulles des boutons de poche.,Mostra la capacità attuale negli aiuti dei pulsanti della borsa.,ポーチボタンのツールチップに現在のスロット容量を表示する。,파우치 버튼 툴팁에 현재 슬롯 용량을 표시합니다.,Pokazuje bieżącą pojemność slotów w podpowiedziach przycisków.,Mostra a capacidade atual nos textos dos botões da bolsa.,Показывает текущую вместимость ячеек в подсказках кнопок.,Çanta düğmesi açıklamalarında mevcut yuva kapasitesini gösterir.,在包具按钮提示中显示当前槽位容量。,在包具按鈕提示中顯示目前欄位容量。
packwisely_setting_show_mark_overlays,ui,UI,,x,Show junk mark overlays,,Markierungssymbole anzeigen,Mostrar iconos de marcado,Afficher les icônes de marquage,Mostra icone di marcatura,マークの重ね表示,표식 오버레이 표시,Pokaż ikony oznaczeń,Mostrar ícones de marcação,Показывать значки меток,Eşya işaretlerini göster,显示标记图标,顯示標記圖示
packwisely_setting_show_mark_overlays_tt,ui,UI,,x,Show Sale and Scrap icons on item stacks.,,Zeigt Verkaufs- und Verschrottungssymbole auf Gegenstandsstapeln.,Muestra iconos de venta y desguace en las pilas de objetos.,Affiche les icônes de vente et de recyclage sur les piles d’objets.,Mostra icone di vendita e rottamazione sulle pile di oggetti.,アイテムスタックに売却と解体のアイコンを表示する。,아이템 더미에 판매 및 분해 아이콘을 표시합니다.,Pokazuje ikony sprzedaży i złomowania na stosach przedmiotów.,Mostra ícones de venda e sucata nas pilhas de itens.,Показывает значки продажи и разбора на стопках предметов.,Eşya yığınlarında satış ve hurda simgelerini gösterir.,在物品堆叠上显示出售和拆解图标。,在物品堆疊上顯示出售和拆解圖示。
packwisely_setting_enable_logging,ui,UI,,x,Enable logging,,Protokollierung aktivieren,Activar registro,Activer la journalisation,Abilita registro,ログを有効化,로그 활성화,Włącz logowanie,Ativar registro,Включить журналирование,Günlüğü aç,启用日志,啟用記錄
packwisely_setting_enable_logging_tt,ui,UI,,x,Writes Packwisely logs to the mod's local Logs folder. Turn off to stop Packwisely file logging.,,"Schreibt Packwisely-Protokolle in den lokalen Logs-Ordner der Mod. Deaktivieren, um die Packwisely-Dateiprotokollierung zu stoppen.",Escribe los registros de Packwisely en la carpeta local Logs del mod. Desactívalo para detener el registro en archivo de Packwisely.,Écrit les journaux de Packwisely dans le dossier Logs local du mod. Désactivez cette option pour arrêter la journalisation fichier de Packwisely.,Scrive i registri di Packwisely nella cartella Logs locale della mod. Disattivalo per fermare la registrazione su file di Packwisely.,PackwiselyのログをMOD内のLogsフォルダーに書き込みます。オフにするとPackwiselyのファイルログを停止します。,Packwisely 로그를 모드의 로컬 Logs 폴더에 기록합니다. 끄면 Packwisely 파일 로그 기록을 중지합니다.,"Zapisuje logi Packwisely w lokalnym folderze Logs moda. Wyłącz, aby zatrzymać zapisywanie logów Packwisely do pliku.",Grava os logs do Packwisely na pasta local Logs do mod. Desative para parar o registro em arquivo do Packwisely.,"Записывает журналы Packwisely в локальную папку Logs мода. Отключите, чтобы остановить файловое журналирование Packwisely.",Packwisely kayıtlarını modun yerel Logs klasörüne yazar. Packwisely dosya kaydını durdurmak için kapat.,将 Packwisely 日志写入模组本地 Logs 文件夹。关闭后停止 Packwisely 文件日志记录。,將 Packwisely 記錄寫入模組本機 Logs 資料夾。關閉後停止 Packwisely 檔案記錄。
packwisely_setting_debug_logging,ui,UI,,x,Enable debug logging,,Debug-Protokollierung aktivieren,Activar registro de depuración,Activer le journal de débogage,Abilita registro debug,デバッグログを有効化,디버그 기록 켜기,Włącz dziennik debugowania,Ativar registro de depuração,Включить журнал отладки,Hata ayıklama kaydını aç,启用调试日志,啟用偵錯記錄
packwisely_setting_debug_logging_tt,ui,UI,,x,Writes extra Packwisely diagnostics. Leave off unless troubleshooting.,,Schreibt zusätzliche Packwisely-Diagnosen. Nur zur Fehlersuche aktivieren.,Escribe diagnósticos extra de Packwisely. Déjalo apagado salvo para solucionar problemas.,Écrit des diagnostics Packwisely supplémentaires. À laisser désactivé hors dépannage.,Scrive diagnostica extra di Packwisely. Lascialo spento salvo problemi.,追加のPackwisely診断を書き込む。問題調査時以外はオフ推奨。,추가 Packwisely 진단을 기록합니다. 문제 해결 시에만 켜세요.,Zapisuje dodatkową diagnostykę Packwisely. Zostaw wyłączone poza naprawą problemów.,Grava diagnósticos extras do Packwisely. Deixe desligado salvo para resolver problemas.,Записывает дополнительную диагностику Packwisely. Не включайте без необходимости.,Ek Packwisely tanılama kayıtları yazar. Sorun gidermiyorsan kapalı tut.,写入额外的 Packwisely 诊断信息。非排查问题时请关闭。,寫入額外的 Packwisely 診斷資訊。非排除問題時請關閉。
packwisely_settings_pouch_buttons,ui,UI,,x,Pouch Button Positions,,Taschenbutton-Positionen,Posiciones de botones de bolsa,Positions des boutons de poche,Posizioni pulsanti tasca,ポーチボタン位置,파우치 버튼 위치,Pozycje przycisków torby,Posições dos botões da bolsa,Позиции кнопок подсумков,Pouch Düğmesi Konumları,包按钮位置,包按鈕位置
packwisely_settings_pouch_buttons_tt,ui,UI,,x,Fine-tune each pouch button position. Values are offsets from the current UI-compatible base position. You can also open the backpack and press your placement hotkey to drag-place the icons.,,"Passe die Position jedes Taschenbuttons fein an. Die Werte sind Versätze von der aktuellen UI-kompatiblen Basisposition. Du kannst auch den Rucksack öffnen und deine Platzierungs-Taste drücken, um die Symbole per Ziehen zu platzieren.",Ajusta con precisión la posición de cada botón de bolsa. Los valores son desplazamientos desde la posición base compatible con la IU actual. También puedes abrir la mochila y pulsar tu atajo de colocación para arrastrar los iconos.,Ajustez précisément la position de chaque bouton de poche. Les valeurs sont des décalages depuis la position de base compatible avec l’interface actuelle. Vous pouvez aussi ouvrir le sac et appuyer sur votre raccourci de placement pour placer les icônes par glisser-déposer.,Regola con precisione la posizione di ogni pulsante tasca. I valori sono offset dalla posizione base compatibile con l’interfaccia attuale. Puoi anche aprire lo zaino e premere la scorciatoia di posizionamento per trascinare le icone.,各ポーチボタンの位置を細かく調整します。値は現在のUI互換ベース位置からのオフセットです。バックパックを開いて配置ホットキーを押すと、アイコンをドラッグ配置できます。,각 파우치 버튼 위치를 세밀하게 조정합니다. 값은 현재 UI 호환 기본 위치에서의 오프셋입니다. 배낭을 열고 배치 단축키를 눌러 아이콘을 드래그 배치할 수도 있습니다.,"Dostosuj dokładnie pozycję każdego przycisku torby. Wartości są przesunięciami względem bieżącej bazowej pozycji zgodnej z interfejsem. Możesz też otworzyć plecak i nacisnąć skrót rozmieszczania, aby przeciągnąć ikony.",Ajuste a posição de cada botão de bolsa. Os valores são deslocamentos a partir da posição base compatível com a interface atual. Você também pode abrir a mochila e pressionar sua tecla de posicionamento para arrastar os ícones.,"Точно настройте положение каждой кнопки подсумка. Значения — это смещения от текущей базовой позиции, совместимой с интерфейсом. Также можно открыть рюкзак и нажать горячую клавишу размещения, чтобы перетащить значки.",Her pouch düğmesinin konumunu ince ayarla. Değerler mevcut UI uyumlu temel konuma göre ofsettir. Ayrıca çantayı açıp yerleşim kısayolunla ikonları sürükleyerek yerleştirebilirsin.,微调每个包按钮的位置。数值是相对于当前UI兼容基础位置的偏移。你也可以打开背包并按下放置热键来拖动放置图标。,微調每個包按鈕的位置。數值是相對於目前UI相容基礎位置的偏移。你也可以開啟背包並按下放置快捷鍵來拖曳放置圖示。
packwisely_setting_ammo_button_x,ui,UI,,x,Ammo Button X Offset,,Munition-Button X-Versatz,Desplazamiento X del botón de munición,Décalage X du bouton de munitions,Offset X pulsante munizioni,弾薬ボタンXオフセット,탄약 버튼 X 오프셋,Przesunięcie X przycisku amunicji,Deslocamento X do botão de munição,Смещение X кнопки боеприпасов,Cephane Düğmesi X Ofseti,弹药按钮X偏移,彈藥按鈕X偏移
packwisely_setting_ammo_button_x_tt,ui,UI,,x,Move the Ammo Pouch button left or right. 0 uses the default compatible position.,,Bewege den Munitions-Taschenbutton nach links oder rechts. 0 verwendet die kompatible Standardposition.,Mueve el botón de bolsa de munición a la izquierda o derecha. 0 usa la posición compatible predeterminada.,Déplace le bouton de poche à munitions vers la gauche ou la droite. 0 utilise la position compatible par défaut.,Sposta il pulsante della tasca munizioni a sinistra o a destra. 0 usa la posizione compatibile predefinita.,弾薬ポーチボタンを左右に移動します。0は互換性のあるデフォルト位置を使用します。,탄약 파우치 버튼을 왼쪽 또는 오른쪽으로 이동합니다. 0은 기본 호환 위치를 사용합니다.,Przesuń przycisk torby amunicyjnej w lewo lub w prawo. 0 używa domyślnej zgodnej pozycji.,Move o botão da bolsa de munição para a esquerda ou direita. 0 usa a posição compatível padrão.,Перемещает кнопку подсумка боеприпасов влево или вправо. 0 использует совместимую позицию по умолчанию.,Cephane Cebi düğmesini sola veya sağa taşı. 0 varsayılan uyumlu konumu kullanır.,左右移动弹药包按钮。0使用默认兼容位置。,左右移動彈藥包按鈕。0使用預設相容位置。
packwisely_setting_ammo_button_y,ui,UI,,x,Ammo Button Y Offset,,Munition-Button Y-Versatz,Desplazamiento Y del botón de munición,Décalage Y du bouton de munitions,Offset Y pulsante munizioni,弾薬ボタンYオフセット,탄약 버튼 Y 오프셋,Przesunięcie Y przycisku amunicji,Deslocamento Y do botão de munição,Смещение Y кнопки боеприпасов,Cephane Düğmesi Y Ofseti,弹药按钮Y偏移,彈藥按鈕Y偏移
packwisely_setting_ammo_button_y_tt,ui,UI,,x,Move the Ammo Pouch button up or down. 0 uses the default compatible position.,,Bewege den Munitions-Taschenbutton nach oben oder unten. 0 verwendet die kompatible Standardposition.,Mueve el botón de bolsa de munición arriba o abajo. 0 usa la posición compatible predeterminada.,Déplace le bouton de poche à munitions vers le haut ou le bas. 0 utilise la position compatible par défaut.,Sposta il pulsante della tasca munizioni in alto o in basso. 0 usa la posizione compatibile predefinita.,弾薬ポーチボタンを上下に移動します。0は互換性のあるデフォルト位置を使用します。,탄약 파우치 버튼을 위 또는 아래로 이동합니다. 0은 기본 호환 위치를 사용합니다.,Przesuń przycisk torby amunicyjnej w górę lub w dół. 0 używa domyślnej zgodnej pozycji.,Move o botão da bolsa de munição para cima ou baixo. 0 usa a posição compatível padrão.,Перемещает кнопку подсумка боеприпасов вверх или вниз. 0 использует совместимую позицию по умолчанию.,Cephane Cebi düğmesini yukarı veya aşağı taşı. 0 varsayılan uyumlu konumu kullanır.,上下移动弹药包按钮。0使用默认兼容位置。,上下移動彈藥包按鈕。0使用預設相容位置。
